id_ev;sesgo;sexo;tamano;comentario_ex;comentario
69_2;0;0;3;Masculino. deberia ajustarse a los plazos de entrega de notas de acuerdo con el reglamento;deberia ajustarse a los plazos de entrega de notas de acuerdo con el reglamento
106_8;0;0;3;Masculino. su forma de enseÃ±arnos y la motivacion que demuestra al hacer las clases;su forma de enseÃ±arnos y la motivacion que demuestra al hacer las clases
98_8;0;0;2;Masculino. profesor que permite entender de buena manera su ramo;profesor que permite entender de buena manera su ramo
102_7;0;0;2;Masculino. como comentario personal decir que fue un agrado;como comentario personal decir que fue un agrado
41_4;0;0;2;Masculino. hacer retroalimentacion para evitar vacios entre evaluaciones;hacer retroalimentacion para evitar vacios entre evaluaciones
49_4;0;0;2;Masculino. lamentablemente por trabajo no pude asistir al curso. ademas;lamentablemente por trabajo no pude asistir al curso. ademas
121_2;0;0;2;Masculino. se dedica a leer las diapositiva y luego las intenta explicar;se dedica a leer las diapositiva y luego las intenta explicar
77_8;0;0;2;Masculino. deje de pasar materia que no entra en las evaluaciones;deje de pasar materia que no entra en las evaluaciones
108_8;0;0;2;Masculino. como sugerencia entregar las notas en su tiempo;como sugerencia entregar las notas en su tiempo
129_2;0;0;2;Masculino. abierto y disponible para resolver cualquier duda o consulta;abierto y disponible para resolver cualquier duda o consulta
112_2;0;0;2;Masculino. hacer guia en clases de los pasos para tramites de una empresa;hacer guia en clases de los pasos para tramites de una empresa
23_4;0;0;2;Masculino. falta un poco mas de didactica en la exposicion de contenidos;falta un poco mas de didactica en la exposicion de contenidos
143_7;0;0;2;Masculino. no cumple horarios de revision o consulta;no cumple horarios de revision o consulta
100_7;0;0;2;Masculino. el ser muy chistoso en sus clases no le es bueno;el ser muy chistoso en sus clases no le es bueno
62_1;0;0;2;Masculino. muy buen docente y sus clases son muy dinamicas;muy buen docente y sus clases son muy dinamicas
120_4;0;0;2;Masculino. una de las materias que mas disfrute durante el segundo semestre;una de las materias que mas disfrute durante el segundo semestre
99_7;0;0;2;Masculino. mayor responsabilidad y otras maneras de explicar;mayor responsabilidad y otras maneras de explicar
14_4;0;0;2;Masculino. faltan clases de pedagogia para el docente;faltan clases de pedagogia para el docente
11_4;0;0;2;Masculino. creo que es necesario que este mas en las clases;creo que es necesario que este mas en las clases
72_4;0;0;2;Masculino. atiende dudas y explica nuevamente la materia;atiende dudas y explica nuevamente la materia
53_7;0;0;2;Masculino. subir las notas a intranet antes del fin de semestre;subir las notas a intranet antes del fin de semestre
133_7;0;0;2;Masculino. mejorar flujo de informacion hacia los estudiantes;mejorar flujo de informacion hacia los estudiantes
127_8;0;0;2;Masculino. soy alumno intercambio no he cursado la asignatura;soy alumno intercambio no he cursado la asignatura
31_1;0;0;2;Masculino. un ramo de mucha ayuda y con buenos ejercicios;un ramo de mucha ayuda y con buenos ejercicios
32_4;0;0;2;Masculino. entrega los conocimientos de manera dinamica;entrega los conocimientos de manera dinamica
52_8;0;0;2;Masculino. uno de los pocos profesores buenos en diseÃ±o grafico;uno de los pocos profesores buenos en diseÃ±o grafico
150_7;0;0;2;Masculino. es confuso ser evaluado por dos profesores;es confuso ser evaluado por dos profesores
39_4;0;0;1;Masculino. si bien conoce bastante en su area;si bien conoce bastante en su area
54_8;0;0;1;Masculino. no me gusta su metodo de evaluacion;no me gusta su metodo de evaluacion
44_6;0;0;1;Masculino. mejorar pronunciacion de ingles;mejorar pronunciacion de ingles
31_8;0;0;1;Masculino. gran persona y profesional;gran persona y profesional
25_4;0;0;1;Masculino. no tuve seminario con este profe;no tuve seminario con este profe
125_2;0;0;1;Masculino. revisar su metodo de evaluaciones;revisar su metodo de evaluaciones
150_4;0;0;1;Masculino. hace muy extensos los certamenes;hace muy extensos los certamenes
33_4;0;0;1;Masculino. avisar si evaluara cosas especificas;avisar si evaluara cosas especificas
120_7;0;0;1;Masculino. subir un poco el timbre de la voz;subir un poco el timbre de la voz
46_7;0;0;1;Masculino. docente que demuestra sus conocimientos;docente que demuestra sus conocimientos
60_8;0;0;1;Masculino. la correccion de certamenes mas rapida;la correccion de certamenes mas rapida
4_3;0;0;1;Masculino. no hay problema con el profesor;no hay problema con el profesor
134_7;0;0;1;Masculino. era algo dificil de entender a veces;era algo dificil de entender a veces
83_8;0;0;1;Masculino. buen sistema de enseÃ±anza;buen sistema de enseÃ±anza
30_8;0;0;1;Masculino. continue haciendo sus clases asi;continue haciendo sus clases asi
119_8;0;0;1;Masculino. llamar la atencion de los estudiantes;llamar la atencion de los estudiantes
17_1;0;0;1;Masculino. sus clases son reflexivas;sus clases son reflexivas
78_7;0;0;1;Masculino. profesor empatico y dedicado;profesor empatico y dedicado
40_8;0;0;1;Masculino. la asistencia deberia ser obligatoria;la asistencia deberia ser obligatoria
68_4;0;0;1;Masculino. mas uso del ingles en la sala de clases;mas uso del ingles en la sala de clases
138_4;0;0;1;Masculino. agregar nuevos metodos de aprendizaje;agregar nuevos metodos de aprendizaje
16_7;0;0;1;Masculino. falta mayor compromiso del profesor;falta mayor compromiso del profesor
20_7;0;0;1;Masculino. exelente docente y persona;exelente docente y persona
42_2;0;0;1;Masculino. buen ambiente de tranajo;buen ambiente de tranajo
39_1;0;0;0;Masculino. muy buena clase 10/10;muy buena clase 10/10
25_1;0;0;0;Masculino. buen profesor 10/10;buen profesor 10/10
43_7;0;0;0;Masculino. buen dominio contenido;buen dominio contenido
78_4;0;0;0;Masculino. que le vaya bien;que le vaya bien
140_4;0;0;0;Masculino. buen profesof;buen profesof
56_8;0;0;0;Masculino. buen profesor de ingles;buen profesor de ingles
28_4;0;0;0;Masculino. explicar graficamente;explicar graficamente
83_7;0;0;0;Masculino. videos;videos
79_7;0;0;0;Masculino. que siga a si;que siga a si
84_1;0;1;3;Femenino. explicar que en las evaluaciones existira materia adicional a la explicada en clases;explicar que en las evaluaciones existira materia adicional a la explicada en clases
43_1;0;1;3;Femenino. investigacion deberia tener mas tiempo como asignatura de pregrado;investigacion deberia tener mas tiempo como asignatura de pregrado
45_7;0;1;3;Femenino. no utilizar lenguaje muy tecnico para lograr una mejor comprension de lo que desea entregar;no utilizar lenguaje muy tecnico para lograr una mejor comprension de lo que desea entregar
133_8;0;1;3;Femenino. se nota que domina la materia que enseÃ±a deberia ser un poco mas accesible para tener uno la confianza de preguntar las dudas;se nota que domina la materia que enseÃ±a deberia ser un poco mas accesible para tener uno la confianza de preguntar las dudas
115_4;0;1;3;Femenino. sus clases son didacticas y salen de lo comun de la tipica clase teorica;sus clases son didacticas y salen de lo comun de la tipica clase teorica
96_7;0;1;3;Femenino. la evaluacion es para el profesor de remplazo que practicamente el nos hizo la asignatura;la evaluacion es para el profesor de remplazo que practicamente el nos hizo la asignatura
23_6;0;1;3;Femenino. una gran profesora ya que domina y sabe mucho contenido util en las clases;una gran profesora ya que domina y sabe mucho contenido util en las clases
63_8;0;1;3;Femenino. la unica sugerencia es que entregue las calificaciones de las evaluaciones en el periodo estimado en lo demas se desempeÃ±a de manera notable;la unica sugerencia es que entregue las calificaciones de las evaluaciones en el periodo estimado en lo demas se desempeÃ±a de manera notable
56_6;0;1;2;Femenino. mas puntualidad con las notas de las evaluaciones;mas puntualidad con las notas de las evaluaciones
69_1;0;1;2;Femenino. hacer mas ejercicios y desarrollarlo en conjunto con la clase;hacer mas ejercicios y desarrollarlo en conjunto con la clase
123_7;0;1;2;Femenino. tiene un conocimiento completo de la materia que enseÃ±a;tiene un conocimiento completo de la materia que enseÃ±a
6_7;0;1;2;Femenino. sus clases son una herramienta para no solo ser profesores;sus clases son una herramienta para no solo ser profesores
16_6;0;1;2;Femenino. los modulos analizados eran muy practicos y faciles de entender;los modulos analizados eran muy practicos y faciles de entender
144_7;0;1;2;Femenino. interesante el metodo utilizado para desarrollar sus clases;interesante el metodo utilizado para desarrollar sus clases
27_7;0;1;2;Femenino. espero continue en este semestre impartiendo ingles a icm;espero continue en este semestre impartiendo ingles a icm
107_7;0;1;2;Femenino. excelente docente motiva a interesarse en la asignatura;excelente docente motiva a interesarse en la asignatura
138_7;0;1;2;Femenino. explica de manera clara y entrega material de estudio;explica de manera clara y entrega material de estudio
30_4;0;1;2;Femenino. excelente profesora explica muy bien y resuelve dudas;excelente profesora explica muy bien y resuelve dudas
141_3;0;1;1;Femenino. comprendi los contenidos;comprendi los contenidos
35_8;0;1;1;Femenino. una asignatura interesante;una asignatura interesante
57_7;0;1;1;Femenino. es la mejor profesora del semestre;es la mejor profesora del semestre
54_4;0;1;1;Femenino. profesora muy dinamica y dedicada;profesora muy dinamica y dedicada
47_1;0;1;1;Femenino. maneja muy bien su catedra;maneja muy bien su catedra
67_7;0;1;1;Femenino. considero a modo personal;considero a modo personal
113_8;0;1;1;Femenino. espero de corazon tenga un buen retiro;espero de corazon tenga un buen retiro
21_8;0;1;1;Femenino. se olvida lo que le pregunto al instante;se olvida lo que le pregunto al instante
5_7;0;1;1;Femenino. domina muy buen los contenidos;domina muy buen los contenidos
87_7;0;1;1;Femenino. muy conforme con lo eprendido;muy conforme con lo eprendido
80_7;0;1;1;Femenino. debe mejorar su forma de enseÃ±ar;debe mejorar su forma de enseÃ±ar
58_7;0;1;1;Femenino. genera confianza en sus clases;genera confianza en sus clases
34_4;0;1;0;Femenino. excelente proferosora;excelente proferosora
14_6;0;1;0;Femenino. al menos para mi;al menos para mi
105_1;0;1;0;Femenino. certamenes muy largos;certamenes muy largos
146_7;0;1;0;Femenino. conoce mucho;conoce mucho
110_8;0;1;0;Femenino. its ok;its ok
91_7;0;1;0;Femenino. no explica muy bien;no explica muy bien
16_4;1;0;3;Masculino. buen profe! falta potenciar mas la participacion de mujeres en clases;buen profe! falta potenciar mas la participacion de mujeres en clases
45_1;1;0;3;Masculino. hagan algo para explicar como desarrollar y controlen a los profesores encargados;hagan algo para explicar como desarrollar y controlen a los profesores encargados
33_7;1;0;3;Masculino. siempre mantuvo el control y atencion de todas en sus clases ademas de enseÃ±ar bien;siempre mantuvo el control y atencion de todas en sus clases ademas de enseÃ±ar bien
42_4;1;0;3;Masculino. no tener una actitud tan arrogante al momento de dirigirse a sus estudiantes;no tener una actitud tan arrogante al momento de dirigirse a sus estudiantes
150_3;1;0;3;Masculino. se encarga de explicar bien y de que los estudiantes comprendan la materia;se encarga de explicar bien y de que los estudiantes comprendan la materia
88_8;1;0;3;Masculino. es un docente con mucha capacidad y muy inteligente pero esta lejos de ser un docente con tacto;es un docente con mucha capacidad y muy inteligente pero esta lejos de ser un docente con tacto
64_4;1;0;3;Masculino. el profesor es claro y pragmatico al momento de pasar la materia y realizar su clase;el profesor es claro y pragmatico al momento de pasar la materia y realizar su clase
53_6;1;0;3;Masculino. mucho lenguaje tecnico y exceso de uso de diapositivas en power point;mucho lenguaje tecnico y exceso de uso de diapositivas en power point
48_8;1;0;3;Masculino. muy buen profesor con excelente manejo en el area y una gran paciencia;muy buen profesor con excelente manejo en el area y una gran paciencia
29_3;1;0;3;Masculino. uno de los mejores profesores que he tenido en mi etapa universitaria;uno de los mejores profesores que he tenido en mi etapa universitaria
16_2;1;0;3;Masculino. buen manejo de conocimiento y buenas estrategias para compartirlo con los estudiantes. personalmente me senti muy apoyada y comoda en clases;buen manejo de conocimiento y buenas estrategias para compartirlo con los estudiantes. personalmente me senti muy apoyada y comoda en clases
63_3;1;0;2;Masculino. el profesor desarrollo habilidades blandas en sus alumnos;el profesor desarrollo habilidades blandas en sus alumnos
80_1;1;0;2;Masculino. profesor estructurado y muy buen metodo de enseñanza;profesor estructurado y muy buen metodo de enseñanza
129_8;1;0;2;Masculino. muestra un desempeÃ±o impecable en su asignatura;muestra un desempeÃ±o impecable en su asignatura
86_3;1;0;2;Masculino. excelente asignatura y profesor? motiva y es amigable!;excelente asignatura y profesor? motiva y es amigable!
78_3;1;0;2;Masculino. sus clases tenian buen contenido y harto trabajo practico;sus clases tenian buen contenido y harto trabajo practico
64_8;1;0;2;Masculino. mas clases practicas para hacerlo mas entretenido;mas clases practicas para hacerlo mas entretenido
97_3;1;0;2;Masculino. interesante sus clases y muy buena explicacion de ella;interesante sus clases y muy buena explicacion de ella
37_4;1;0;2;Masculino. gran disponibilidad para enseñar a cada alumno en particular;gran disponibilidad para enseñar a cada alumno en particular
38_8;1;0;2;Masculino. es claro y preciso a la hora de resolver consultas;es claro y preciso a la hora de resolver consultas
6_3;1;0;2;Masculino. buen dominio de la materia expuesta en clases;buen dominio de la materia expuesta en clases
44_2;1;0;2;Masculino. el profesor siempre motiva a los alumnos al conocimiento;el profesor siempre motiva a los alumnos al conocimiento
70_3;1;0;1;Masculino. explique mejor las ideas;explique mejor las ideas
44_4;1;0;1;Masculino. profesor con mucha falta de coordinacion;profesor con mucha falta de coordinacion
48_6;1;0;1;Masculino. muy didactico para realizar sus clases;muy didactico para realizar sus clases
145_4;1;0;1;Masculino. gran y divertido profesor;gran y divertido profesor
49_1;1;0;1;Masculino. acercarse mas a los estudiantes;acercarse mas a los estudiantes
71_1;1;0;1;Masculino. genera un grato ambiente academico;genera un grato ambiente academico
147_8;1;0;1;Masculino. sus ppt son desordenados;sus ppt son desordenados
89_3;1;0;1;Masculino. preparar las clases y mas animo;preparar las clases y mas animo
121_8;1;0;1;Masculino. total dominio de lo que enseÃ±a;total dominio de lo que enseÃ±a
118_3;1;0;1;Masculino. toma tiempo de ayudar en todas las dudas;toma tiempo de ayudar en todas las dudas
51_8;1;0;0;Masculino. mas responsabilidad;mas responsabilidad
120_8;1;0;0;Masculino. bastante organizado;bastante organizado
95_7;1;0;0;Masculino. regala las notas;regala las notas
102_1;1;0;0;Masculino. siempre atento;siempre atento
95_3;1;0;0;Masculino. ternura;ternura
84_3;1;0;0;Masculino. bien explicado;bien explicado
140_3;1;0;0;Masculino. medio picaflor;medio picaflor
86_4;1;1;3;Femenino. demuestra conocimientos de la asignatura sin embargo al enseñar solo con ppts cuesta mas entender;demuestra conocimientos de la asignatura sin embargo al enseñar solo con ppts cuesta mas entender
23_8;1;1;3;Femenino. se agradece que la docente establezca una conexion con situaciones que se presentan en la vida cotidiana con la materia;se agradece que la docente establezca una conexion con situaciones que se presentan en la vida cotidiana con la materia
6_1;1;1;3;Femenino. siempre se preocupa de resolver las dudas sin embargo es demasiado cuadrada;siempre se preocupa de resolver las dudas sin embargo es demasiado cuadrada
17_3;1;1;3;Femenino. profesora dedicada a su trabajo y a sus alumnos para entregar una buena base para la formacion de ellos;profesora dedicada a su trabajo y a sus alumnos para entregar una buena base para la formacion de ellos
32_1;1;1;3;Femenino. sabe muchisimo y esta dispuesta a ayudar y responder nuestras dudas;sabe muchisimo y esta dispuesta a ayudar y responder nuestras dudas
124_3;1;1;3;Femenino. docente con gran capacidad para adaptarse a los cambios. muy respetuosa comprensiva y paciente;docente con gran capacidad para adaptarse a los cambios. muy respetuosa comprensiva y paciente
74_3;1;1;3;Femenino. deberia escribir menos en los pawerpoint que utiliza hacer las clases mas didacticas;deberia escribir menos en los pawerpoint que utiliza hacer las clases mas didacticas
38_4;1;1;3;Femenino. es una profesora magnifica se nota que le gusta enseñar y es muy didactica;es una profesora magnifica se nota que le gusta enseñar y es muy didactica
75_3;1;1;3;Femenino. siempre muy atenta con todos y dedicada en las actividades para reunirnos y compartieramos. creaba momentos donde cada persona podia abrirse un poco mas;siempre muy atenta con todos y dedicada en las actividades para reunirnos y compartieramos. creaba momentos donde cada persona podia abrirse un poco mas
52_3;1;1;3;Femenino. es bastante dinamica para hacer las clases y preocupada por la asignatura;es bastante dinamica para hacer las clases y preocupada por la asignatura
18_4;1;1;2;Femenino. capacidad de conocimientos adecuados a la asignatura;capacidad de conocimientos adecuados a la asignatura
18_1;1;1;2;Femenino. siempre busco la forma de mantener la atencion de sus alumnos;siempre busco la forma de mantener la atencion de sus alumnos
116_3;1;1;2;Femenino. se sugiere que trate a todos los estudiantes por igual;se sugiere que trate a todos los estudiantes por igual
112_8;1;1;2;Femenino. profesora preocupada del aprendizaje de los alumnos;profesora preocupada del aprendizaje de los alumnos
54_6;1;1;2;Femenino. se sugiere mas compromiso con la asignatura;se sugiere mas compromiso con la asignatura
29_4;1;1;2;Femenino. no es mala profe pero explica como las weas;no es mala profe pero explica como las weas
50_8;1;1;2;Femenino. profesora que realiza su trabajo con vocacion;profesora que realiza su trabajo con vocacion
128_7;1;1;2;Femenino. muy conocedora y amable respondiendo dudas;muy conocedora y amable respondiendo dudas
73_4;1;1;2;Femenino. apoye a los que esten interesados en trabajar;apoye a los que esten interesados en trabajar
7_3;1;1;2;Femenino. sugiero que las notas las entregue a la fecha estimada;sugiero que las notas las entregue a la fecha estimada
41_8;1;1;2;Femenino. fue una muy buena guia para los talleres realizados;fue una muy buena guia para los talleres realizados
114_3;1;1;1;Femenino. debe omitir dar juicios de valor;debe omitir dar juicios de valor
35_1;1;1;1;Femenino. mas comprension y dedicacion;mas comprension y dedicacion
118_8;1;1;1;Femenino. tenia todas las intenciones de enseÃ±ar;tenia todas las intenciones de enseÃ±ar
139_3;1;1;1;Femenino. buena docente con conocimientos claros;buena docente con conocimientos claros
121_3;1;1;1;Femenino. muy buena docente empatica y comprensiva;muy buena docente empatica y comprensiva
137_7;1;1;1;Femenino. es demasiado estricta a veces;es demasiado estricta a veces
65_4;1;1;1;Femenino. aprenda a admitir sus errores;aprenda a admitir sus errores
123_4;1;1;1;Femenino. la clase es muy aburrida;la clase es muy aburrida
75_7;1;1;1;Femenino. mucha comprension para el estudiante;mucha comprension para el estudiante
134_2;1;1;1;Femenino. muy comprensiva y considerada;muy comprensiva y considerada
129_1;1;1;1;Femenino. excelente disposicion para aclarar dudas;excelente disposicion para aclarar dudas
110_3;1;1;0;Femenino. que no se enrede tanto;que no se enrede tanto
62_2;1;1;0;Femenino. le falta mas motivacion;le falta mas motivacion
20_6;1;1;0;Femenino. profesora competente;profesora competente
67_1;1;1;0;Femenino. no tan ruda;no tan ruda
90_8;1;1;0;Femenino. creativa;creativa
140_1;1;1;0;Femenino. clases fabulosas;clases fabulosas
