id_ev;sesgo;sexo;tamano;comentario_ex;comentario
69_2;0;0;3;Masculino. deberia ajustarse a los plazos de entrega de notas de acuerdo con el reglamento;deberia ajustarse a los plazos de entrega de notas de acuerdo con el reglamento
106_8;0;0;3;Masculino. su forma de enseÃ±arnos y la motivacion que demuestra al hacer las clases;su forma de enseÃ±arnos y la motivacion que demuestra al hacer las clases
3_6;0;0;3;Masculino. un profesor que te entrega la motivacion necesaria para aprender sobre el ramo;un profesor que te entrega la motivacion necesaria para aprender sobre el ramo
92_7;0;0;3;Masculino. por ser part-time es muy dificil encontrarlo a la hora de consultar dudas y entrega calificaciones fuera de plazo;por ser part-time es muy dificil encontrarlo a la hora de consultar dudas y entrega calificaciones fuera de plazo
147_4;0;0;3;Masculino. es un buen profesor. es muy didactico y utiliza distintos metodos de enseñanza;es un buen profesor. es muy didactico y utiliza distintos metodos de enseñanza
3_4;0;0;3;Masculino. siempre tuvo la preocupacion de que cada estudiante pudiera aprender;siempre tuvo la preocupacion de que cada estudiante pudiera aprender
136_3;0;0;3;Masculino. es el primer profesor que entrega las notas al par de dias de la evaluacion;es el primer profesor que entrega las notas al par de dias de la evaluacion
123_3;0;0;3;Masculino. las calificaciones deberian ser informadas en los plazos establecidos reglamentariamente. las pautas de evaluacion deberian ser informadas en alguna de las clases previas a dicha evaluacion;las calificaciones deberian ser informadas en los plazos establecidos reglamentariamente. las pautas de evaluacion deberian ser informadas en alguna de las clases previas a dicha evaluacion
109_7;0;0;3;Masculino. profesor con un gran manejo del ramo y de todos los conocimientos nada que imparte;profesor con un gran manejo del ramo y de todos los conocimientos nada que imparte
124_7;0;0;3;Masculino. se recomienda que lo visto en clases tenga un poco de relacion con lo que se evaluara;se recomienda que lo visto en clases tenga un poco de relacion con lo que se evaluara
48_4;0;0;3;Masculino. es muy impuntual a la hora de entregar las notas y es poco comprensible;es muy impuntual a la hora de entregar las notas y es poco comprensible
100_3;0;0;3;Masculino. mejorar considerablemente su caligrafia y permitir explicar primero y luego dar tiempo a anotar en el cuaderno;mejorar considerablemente su caligrafia y permitir explicar primero y luego dar tiempo a anotar en el cuaderno
120_1;0;0;3;Masculino. no realiza retroalimentacion tras las malas calificaciones del primer certamen;no realiza retroalimentacion tras las malas calificaciones del primer certamen
52_1;0;0;3;Masculino. el profesor logro que pese a que no me entusiasmase mucho en un principio la asignatura;el profesor logro que pese a que no me entusiasmase mucho en un principio la asignatura
30_3;0;0;3;Masculino. daberian ocupar mas materiales reciclables para no gastar tanto dinero;daberian ocupar mas materiales reciclables para no gastar tanto dinero
10_6;0;0;3;Masculino. mejorar materias de apoyo y cambiar modalidad de hacer las clases;mejorar materias de apoyo y cambiar modalidad de hacer las clases
98_2;0;0;3;Masculino. nada mas que agregar me gusto mucho la forma de enseñar que tiene;nada mas que agregar me gusto mucho la forma de enseñar que tiene
136_2;0;0;3;Masculino. mejorar disposicion en las consultas y en el ultimo mes se iba antes de que terminara su horario de consulta;mejorar disposicion en las consultas y en el ultimo mes se iba antes de que terminara su horario de consulta
128_4;0;0;3;Masculino. crea un ambiente agradable en la clase y maneja bien los contenidos;crea un ambiente agradable en la clase y maneja bien los contenidos
76_8;0;0;3;Masculino. el profesor nunca asistio a impartir las clases me presente durante mas de 5 semanas pero nunca llego;el profesor nunca asistio a impartir las clases me presente durante mas de 5 semanas pero nunca llego
52_7;0;0;3;Masculino. aunque no me fue muy bien sus clases fueron claras y aprendi mucho siga asi nomas;aunque no me fue muy bien sus clases fueron claras y aprendi mucho siga asi nomas
32_7;0;0;3;Masculino. docente con mucho manejo del contenido y experiencia. un poco acelerado para hacer las clases;docente con mucho manejo del contenido y experiencia. un poco acelerado para hacer las clases
81_4;0;0;3;Masculino. mi sugerencia seria mas claridad de normas en sala desde el dia uno. con participacion tanto suya como de las alumnas en las tomas de aquellas;mi sugerencia seria mas claridad de normas en sala desde el dia uno. con participacion tanto suya como de las alumnas en las tomas de aquellas
88_4;0;0;3;Masculino. tratar de comprender mas a los estudiantes cuando le quieren expresar algo en los examenes escritos;tratar de comprender mas a los estudiantes cuando le quieren expresar algo en los examenes escritos
44_7;0;0;3;Masculino. el profesor alvaro es un gran docente. gracias a el aprendi a tener mas confianza en mis conocimientos;el profesor alvaro es un gran docente. gracias a el aprendi a tener mas confianza en mis conocimientos
119_2;0;0;3;Masculino. profesor con buena entrega de contenido y metodos para resolver dudas en las actividades o trabajos;profesor con buena entrega de contenido y metodos para resolver dudas en las actividades o trabajos
57_3;0;0;3;Masculino. criterio de evaluacion muy desequilibrado en relacion a lo que se expone en clases. deberia haber un equilibrio en las evaluaciones desarrolladas;criterio de evaluacion muy desequilibrado en relacion a lo que se expone en clases. deberia haber un equilibrio en las evaluaciones desarrolladas
151_7;0;0;3;Masculino. utilizar otros metodos de evaluacion. preguntar por la materia en general para que asi no pase solo el que se aprendio de memoria un ejercicio en concreto;utilizar otros metodos de evaluacion. preguntar por la materia en general para que asi no pase solo el que se aprendio de memoria un ejercicio en concreto
18_6;0;0;3;Masculino. respecto a la bibliografia basica. el mismo nos entrego los documentos que requeriamos para efectos de evaluacion e investigacion propia de la asignatura;respecto a la bibliografia basica. el mismo nos entrego los documentos que requeriamos para efectos de evaluacion e investigacion propia de la asignatura
15_8;0;0;3;Masculino. mi sugerencia es abordar un poco mas la alimentacion de los deportistas;mi sugerencia es abordar un poco mas la alimentacion de los deportistas
19_2;0;0;3;Masculino. falta pedagogia para saber transmitir conocimientos. no se le entiende en clase;falta pedagogia para saber transmitir conocimientos. no se le entiende en clase
136_7;0;0;3;Masculino. ser mas paciente y no olvidar que nosotros como estudiantes no tenemos sus conocimientos;ser mas paciente y no olvidar que nosotros como estudiantes no tenemos sus conocimientos
133_3;0;0;3;Masculino. de ser posible reservar y utilizar el laboratorio para aplicar las herramientas de analisis en conjunto para luego interpretar los resultados;de ser posible reservar y utilizar el laboratorio para aplicar las herramientas de analisis en conjunto para luego interpretar los resultados
61_4;0;0;3;Masculino. usar el nombre mas simple para recordar los tipos de articulaciones o algunas patologias podria facilitar el aprendizaje;usar el nombre mas simple para recordar los tipos de articulaciones o algunas patologias podria facilitar el aprendizaje
15_4;0;0;3;Masculino. profesor relaciona contenidos con fenomenos de la vida cotidiana haciendo mas comprensible el contenido;profesor relaciona contenidos con fenomenos de la vida cotidiana haciendo mas comprensible el contenido
49_8;0;0;3;Masculino. es ilogico enviarnos casos para la casa sin haber pasado la materia primero. muy mala practica;es ilogico enviarnos casos para la casa sin haber pasado la materia primero. muy mala practica
66_4;0;0;3;Masculino. cambiar metodos de evaluacion para que realmente evaluen lo enseñado;cambiar metodos de evaluacion para que realmente evaluen lo enseñado
127_2;0;0;3;Masculino. debe ser mas proactivo en la realizacion del taller y en la organizacion de este;debe ser mas proactivo en la realizacion del taller y en la organizacion de este
137_8;0;0;3;Masculino. buen docente con gran disponibilidad para responder cualquier duda en relacion a los contenidos o la carrera;buen docente con gran disponibilidad para responder cualquier duda en relacion a los contenidos o la carrera
2_4;0;0;3;Masculino. deberia ocupar plumon tinta gruesa ya que el que ocupa apenas se veia;deberia ocupar plumon tinta gruesa ya que el que ocupa apenas se veia
17_8;0;0;3;Masculino. como sugerencia pediria mas de dos evaluciones en el ramo del profesor;como sugerencia pediria mas de dos evaluciones en el ramo del profesor
122_2;0;0;3;Masculino. mas claridad en el criterio de evaluacion y en programa semestral;mas claridad en el criterio de evaluacion y en programa semestral
56_1;0;0;3;Masculino. como sugerencia seria bueno que entregara algun programa de la asignatura;como sugerencia seria bueno que entregara algun programa de la asignatura
144_4;0;0;3;Masculino. hacer mas preguntas en la clase para que esta sea mas participativa;hacer mas preguntas en la clase para que esta sea mas participativa
43_6;0;0;3;Masculino. me confunde en algunas cosas en cuanto a conocimientos que habia adquirido anteriormente por otros profesores;me confunde en algunas cosas en cuanto a conocimientos que habia adquirido anteriormente por otros profesores
53_4;0;0;3;Masculino. es menester mencionar o sugerir que deberia de entregar a los y las estudiantes los examenes que realizan para saber que mejorar y que no volver a estudiar;es menester mencionar o sugerir que deberia de entregar a los y las estudiantes los examenes que realizan para saber que mejorar y que no volver a estudiar
110_2;0;0;3;Masculino. a veces profundiza mucho en sus ejemplos y se desvia de la materia;a veces profundiza mucho en sus ejemplos y se desvia de la materia
55_1;0;0;3;Masculino. dar una introduccion de lo que se vera en laboratorio y al final de estos dar la explicacion de los casos vistos;dar una introduccion de lo que se vera en laboratorio y al final de estos dar la explicacion de los casos vistos
26_3;0;0;3;Masculino. no esta mucho es clases y lo otro la organizacion con los tutores ya que hubieron unos problemas en las ultimas clases con una entrega de trabajo;no esta mucho es clases y lo otro la organizacion con los tutores ya que hubieron unos problemas en las ultimas clases con una entrega de trabajo
46_4;0;0;3;Masculino. al realizar cambios de evaluciones deberia avisar antes de la fecha pactada;al realizar cambios de evaluciones deberia avisar antes de la fecha pactada
58_8;0;0;3;Masculino. le sugiero que se de el tiempo necesario para explicar de buena manera su clase;le sugiero que se de el tiempo necesario para explicar de buena manera su clase
100_1;0;0;3;Masculino. sugiero que los ejerecicios realizados en clase se asemejen a los de los certamenes y examenes;sugiero que los ejerecicios realizados en clase se asemejen a los de los certamenes y examenes
117_4;0;0;3;Masculino. excelete desarrollo de las clases. promeve la autonomia del estudiante en general y dentro del taller;excelete desarrollo de las clases. promeve la autonomia del estudiante en general y dentro del taller
24_1;0;0;3;Masculino. el profesor maneja muy bien los contenidos en clases. esto lo demuestra en el aula explicando de manera clara y dando ejemplos para todos los contenidos;el profesor maneja muy bien los contenidos en clases. esto lo demuestra en el aula explicando de manera clara y dando ejemplos para todos los contenidos
44_8;0;0;3;Masculino. el profesor mella y briones son excelentes profesor con toda la disposicion del mundo para que el estudiante aprenda;el profesor mella y briones son excelentes profesor con toda la disposicion del mundo para que el estudiante aprenda
92_4;0;0;3;Masculino. tratar de ser mas dinamico en clases para que haya un mayor interes en asistir a ellas;tratar de ser mas dinamico en clases para que haya un mayor interes en asistir a ellas
116_2;0;0;3;Masculino. excelente clima que se produce en la clase para una mayor participacion del estudiante;excelente clima que se produce en la clase para una mayor participacion del estudiante
125_4;0;0;3;Masculino. trata de entregar la informacion de variadas maneras para un mejor aprendizaje;trata de entregar la informacion de variadas maneras para un mejor aprendizaje
137_4;0;0;3;Masculino. producto de la gran cantidad de estudiantes en la sala no se daba un ambiente en el que todos pudiesemos participar y consular lo no entendido;producto de la gran cantidad de estudiantes en la sala no se daba un ambiente en el que todos pudiesemos participar y consular lo no entendido
95_1;0;0;3;Masculino. no se le comprendia mucho en las clases debido a su manera de hablar. pray for eshonsito;no se le comprendia mucho en las clases debido a su manera de hablar. pray for eshonsito
80_8;0;0;3;Masculino. el repaso que hace sobre la clase anterior es muy extenso lo que no permite avanzar mucho. debiera hacer mas ejercicios practicos y que sean mas parecido a la realidad;el repaso que hace sobre la clase anterior es muy extenso lo que no permite avanzar mucho. debiera hacer mas ejercicios practicos y que sean mas parecido a la realidad
139_1;0;0;3;Masculino. por favor por favor entregue las evaluaciones en las fechas establecidad;por favor por favor entregue las evaluaciones en las fechas establecidad
4_6;0;0;3;Masculino. profesor cercano a los alumnos y bastante carismatico. tiene algunos problemas de dominio de los contenidos que enseÃ±a;profesor cercano a los alumnos y bastante carismatico. tiene algunos problemas de dominio de los contenidos que enseÃ±a
141_7;0;0;3;Masculino. todo el semestre haciendo actividades para que solo subiera 2 notas a intranet;todo el semestre haciendo actividades para que solo subiera 2 notas a intranet
98_8;0;0;2;Masculino. profesor que permite entender de buena manera su ramo;profesor que permite entender de buena manera su ramo
102_7;0;0;2;Masculino. como comentario personal decir que fue un agrado;como comentario personal decir que fue un agrado
41_4;0;0;2;Masculino. hacer retroalimentacion para evitar vacios entre evaluaciones;hacer retroalimentacion para evitar vacios entre evaluaciones
49_4;0;0;2;Masculino. lamentablemente por trabajo no pude asistir al curso. ademas;lamentablemente por trabajo no pude asistir al curso. ademas
121_2;0;0;2;Masculino. se dedica a leer las diapositiva y luego las intenta explicar;se dedica a leer las diapositiva y luego las intenta explicar
77_8;0;0;2;Masculino. deje de pasar materia que no entra en las evaluaciones;deje de pasar materia que no entra en las evaluaciones
108_8;0;0;2;Masculino. como sugerencia entregar las notas en su tiempo;como sugerencia entregar las notas en su tiempo
129_2;0;0;2;Masculino. abierto y disponible para resolver cualquier duda o consulta;abierto y disponible para resolver cualquier duda o consulta
112_2;0;0;2;Masculino. hacer guia en clases de los pasos para tramites de una empresa;hacer guia en clases de los pasos para tramites de una empresa
23_4;0;0;2;Masculino. falta un poco mas de didactica en la exposicion de contenidos;falta un poco mas de didactica en la exposicion de contenidos
143_7;0;0;2;Masculino. no cumple horarios de revision o consulta;no cumple horarios de revision o consulta
100_7;0;0;2;Masculino. el ser muy chistoso en sus clases no le es bueno;el ser muy chistoso en sus clases no le es bueno
62_1;0;0;2;Masculino. muy buen docente y sus clases son muy dinamicas;muy buen docente y sus clases son muy dinamicas
120_4;0;0;2;Masculino. una de las materias que mas disfrute durante el segundo semestre;una de las materias que mas disfrute durante el segundo semestre
99_7;0;0;2;Masculino. mayor responsabilidad y otras maneras de explicar;mayor responsabilidad y otras maneras de explicar
14_4;0;0;2;Masculino. faltan clases de pedagogia para el docente;faltan clases de pedagogia para el docente
11_4;0;0;2;Masculino. creo que es necesario que este mas en las clases;creo que es necesario que este mas en las clases
72_4;0;0;2;Masculino. atiende dudas y explica nuevamente la materia;atiende dudas y explica nuevamente la materia
53_7;0;0;2;Masculino. subir las notas a intranet antes del fin de semestre;subir las notas a intranet antes del fin de semestre
133_7;0;0;2;Masculino. mejorar flujo de informacion hacia los estudiantes;mejorar flujo de informacion hacia los estudiantes
127_8;0;0;2;Masculino. soy alumno intercambio no he cursado la asignatura;soy alumno intercambio no he cursado la asignatura
31_1;0;0;2;Masculino. un ramo de mucha ayuda y con buenos ejercicios;un ramo de mucha ayuda y con buenos ejercicios
32_4;0;0;2;Masculino. entrega los conocimientos de manera dinamica;entrega los conocimientos de manera dinamica
52_8;0;0;2;Masculino. uno de los pocos profesores buenos en diseÃ±o grafico;uno de los pocos profesores buenos en diseÃ±o grafico
150_7;0;0;2;Masculino. es confuso ser evaluado por dos profesores;es confuso ser evaluado por dos profesores
11_8;0;0;2;Masculino. profesor con muy buena disposicion al aprendizaje;profesor con muy buena disposicion al aprendizaje
33_6;0;0;2;Masculino. genera un ambiente muy incomodo dentro del aula;genera un ambiente muy incomodo dentro del aula
6_4;0;0;2;Masculino. buen profesor me gusta su metodo para enseñar;buen profesor me gusta su metodo para enseñar
86_7;0;0;2;Masculino. lo considero uno de los mejores profesores;lo considero uno de los mejores profesores
40_4;0;0;2;Masculino. atiende bien las dudas y temas que se van a realizar;atiende bien las dudas y temas que se van a realizar
9_7;0;0;2;Masculino. deberian existir mas profesionales como don patricio;deberian existir mas profesionales como don patricio
36_2;0;0;2;Masculino. mejorar caligrafia ya que en varias ocasiones no se entendia;mejorar caligrafia ya que en varias ocasiones no se entendia
24_7;0;0;2;Masculino. maneja mucho su area de trabajo y dispuesto a eseÃ±ar;maneja mucho su area de trabajo y dispuesto a eseÃ±ar
135_4;0;0;2;Masculino. explica con peras y manzanas. no obstante;explica con peras y manzanas. no obstante
97_8;0;0;2;Masculino. se debe evaluar mas el aprendizaje y no un resultado;se debe evaluar mas el aprendizaje y no un resultado
7_4;0;0;2;Masculino. profesor con un vasto conocimiento en el area electrica;profesor con un vasto conocimiento en el area electrica
11_6;0;0;2;Masculino. siempre estuvo dispuesto a darme oportunidades;siempre estuvo dispuesto a darme oportunidades
103_7;0;0;2;Masculino. por lo menos tiene que dejar 2 certamanes;por lo menos tiene que dejar 2 certamanes
73_7;0;0;2;Masculino. la forma de evaluar los contenidos del curso fue muy buena;la forma de evaluar los contenidos del curso fue muy buena
69_4;0;0;2;Masculino. respeto a las presentaciones de sus alumnos;respeto a las presentaciones de sus alumnos
115_3;0;0;2;Masculino. falta mejorar la metodologia de las clases;falta mejorar la metodologia de las clases
116_4;0;0;2;Masculino. profesor muy comprometido con sus alumnos;profesor muy comprometido con sus alumnos
19_7;0;0;2;Masculino. falta enforcar mas el ramo a construccion;falta enforcar mas el ramo a construccion
86_1;0;0;2;Masculino. mejorar disposicion y ayuda a los alumnos;mejorar disposicion y ayuda a los alumnos
90_4;0;0;2;Masculino. las puntualidad en las fechas de entrega de calificaciones;las puntualidad en las fechas de entrega de calificaciones
117_2;0;0;2;Masculino. no da instancia para que uno se sienta comodo en su clase;no da instancia para que uno se sienta comodo en su clase
142_8;0;0;2;Masculino. ser mas puntual a la hora de la entrega de notas;ser mas puntual a la hora de la entrega de notas
150_2;0;0;2;Masculino. ejercititar con mas casos de ejemplo para cada materia;ejercititar con mas casos de ejemplo para cada materia
40_2;0;0;2;Masculino. la asignatura deberia ser impartida por un solo docente;la asignatura deberia ser impartida por un solo docente
148_8;0;0;2;Masculino. explique la materia de una forma que la mayoria pueda entender;explique la materia de una forma que la mayoria pueda entender
86_2;0;0;2;Masculino. solo que sea mas didactico y no tan monologo;solo que sea mas didactico y no tan monologo
138_2;0;0;2;Masculino. falta un poco mas de empatia con los alumnos;falta un poco mas de empatia con los alumnos
47_7;0;0;2;Masculino. solo realizo una clase en esta asignatura;solo realizo una clase en esta asignatura
11_3;0;0;2;Masculino. me encanto la clase una lastima no poder realizar el soneto 3d;me encanto la clase una lastima no poder realizar el soneto 3d
133_4;0;0;2;Masculino. aveces hace sus clases un poquito monotonas;aveces hace sus clases un poquito monotonas
74_7;0;0;2;Masculino. el docente es muy poco didactico para sus clases;el docente es muy poco didactico para sus clases
37_7;0;0;2;Masculino. debe actualizar sus contenidos y el metodos de enseÃ±anza;debe actualizar sus contenidos y el metodos de enseÃ±anza
64_3;0;0;2;Masculino. no me gustaron las clases que hizo el richar en su reemplazo;no me gustaron las clases que hizo el richar en su reemplazo
98_4;0;0;2;Masculino. el profesor siempre muy paciente y claro al explica;el profesor siempre muy paciente y claro al explica
122_4;0;0;2;Masculino. una mejora en la explicacion de los contenidos;una mejora en la explicacion de los contenidos
59_7;0;0;2;Masculino. asignatura muy interesante de la manera en la que lo enseÃ±a;asignatura muy interesante de la manera en la que lo enseÃ±a
60_2;0;0;2;Masculino. es de gran utilidad los ejercicios resueltos que entrega;es de gran utilidad los ejercicios resueltos que entrega
128_2;0;0;2;Masculino. muy claro al enseñar los contenidos y con buena dispocision;muy claro al enseñar los contenidos y con buena dispocision
2_7;0;0;2;Masculino. mas ejercicios complejos realizados en clases;mas ejercicios complejos realizados en clases
8_8;0;0;2;Masculino. se enreda solo al momento de explicar los contenidos;se enreda solo al momento de explicar los contenidos
78_8;0;0;2;Masculino. puntualidad en la entrega de evaluaciones;puntualidad en la entrega de evaluaciones
25_2;0;0;2;Masculino. me gustaria que las clases comenzaran a la hora indicada;me gustaria que las clases comenzaran a la hora indicada
65_3;0;0;2;Masculino. deberia hacer sus clases y certamen en horarios que corresponden;deberia hacer sus clases y certamen en horarios que corresponden
27_4;0;0;2;Masculino. muy buen profesor y dinamico para hacer sus clases;muy buen profesor y dinamico para hacer sus clases
72_2;0;0;2;Masculino. al realizar los certamenes estan con una mayor complejidad;al realizar los certamenes estan con una mayor complejidad
127_3;0;0;2;Masculino. podria subir la asistencia periodicamente;podria subir la asistencia periodicamente
63_2;0;0;2;Masculino. eche para afuera a los que hablan en clases;eche para afuera a los que hablan en clases
25_8;0;0;2;Masculino. agregar laboratorios para trabajo practico;agregar laboratorios para trabajo practico
29_6;0;0;2;Masculino. fue quien mejor se adapto a los problemas del acontecer nacional;fue quien mejor se adapto a los problemas del acontecer nacional
36_7;0;0;2;Masculino. falta un poco de ejercicios para preparacion del certamen;falta un poco de ejercicios para preparacion del certamen
20_4;0;0;2;Masculino. un excelente docente y taller de karate. felicitaciones;un excelente docente y taller de karate. felicitaciones
46_2;0;0;2;Masculino. explica de manera simple y facil de aprender;explica de manera simple y facil de aprender
124_4;0;0;2;Masculino. el profesor siempre atento de sus alumnos;el profesor siempre atento de sus alumnos
53_1;0;0;2;Masculino. es buen profe y enseña de forma interactiva;es buen profe y enseña de forma interactiva
29_8;0;0;2;Masculino. buen profesor y buena persona con los estudiantes;buen profesor y buena persona con los estudiantes
103_2;0;0;2;Masculino. explica bien los contenidos de laboratorio y es cooperativo;explica bien los contenidos de laboratorio y es cooperativo
125_8;0;0;2;Masculino. profesor puede evitar que 2 certamenes sean en un mismo mes;profesor puede evitar que 2 certamenes sean en un mismo mes
13_4;0;0;2;Masculino. profesor con mucho dominio en el tema que enseña;profesor con mucho dominio en el tema que enseña
68_7;0;0;2;Masculino. profesor con un dominio magistral de los conocimientos;profesor con un dominio magistral de los conocimientos
72_1;0;0;2;Masculino. explicar mas a fondo ciertos temas que manda a buscar en google;explicar mas a fondo ciertos temas que manda a buscar en google
50_6;0;0;2;Masculino. profesor muy preocupado del aprendizaje mas que de las notas;profesor muy preocupado del aprendizaje mas que de las notas
84_4;0;0;2;Masculino. las clases no eran suficientes para construir conocimientos;las clases no eran suficientes para construir conocimientos
15_1;0;0;2;Masculino. poder subir las notas a intranet antes de tener otra prueba;poder subir las notas a intranet antes de tener otra prueba
59_8;0;0;2;Masculino. se le comprenden los contenidos entregados en clases;se le comprenden los contenidos entregados en clases
58_4;0;0;2;Masculino. me gustaria que aumentara el grado de dificultad del ramo;me gustaria que aumentara el grado de dificultad del ramo
52_2;0;0;2;Masculino. que le enseñe a los estudiantes a usar lenguaje tecnico;que le enseñe a los estudiantes a usar lenguaje tecnico
87_4;0;0;2;Masculino. buen docente solo falta resolucion de pruebas;buen docente solo falta resolucion de pruebas
93_4;0;0;2;Masculino. excelente docente y conocimiento en el area;excelente docente y conocimiento en el area
68_1;0;0;2;Masculino. excelente docente y buen dominio de su asignatura;excelente docente y buen dominio de su asignatura
111_8;0;0;2;Masculino. mejorar la manera de enseÃ±ar hacia los estudiantes;mejorar la manera de enseÃ±ar hacia los estudiantes
148_1;0;0;2;Masculino. falta enseñar mas los ejercicios hechos a mano;falta enseñar mas los ejercicios hechos a mano
39_4;0;0;1;Masculino. si bien conoce bastante en su area;si bien conoce bastante en su area
54_8;0;0;1;Masculino. no me gusta su metodo de evaluacion;no me gusta su metodo de evaluacion
44_6;0;0;1;Masculino. mejorar pronunciacion de ingles;mejorar pronunciacion de ingles
31_8;0;0;1;Masculino. gran persona y profesional;gran persona y profesional
25_4;0;0;1;Masculino. no tuve seminario con este profe;no tuve seminario con este profe
125_2;0;0;1;Masculino. revisar su metodo de evaluaciones;revisar su metodo de evaluaciones
150_4;0;0;1;Masculino. hace muy extensos los certamenes;hace muy extensos los certamenes
33_4;0;0;1;Masculino. avisar si evaluara cosas especificas;avisar si evaluara cosas especificas
120_7;0;0;1;Masculino. subir un poco el timbre de la voz;subir un poco el timbre de la voz
46_7;0;0;1;Masculino. docente que demuestra sus conocimientos;docente que demuestra sus conocimientos
60_8;0;0;1;Masculino. la correccion de certamenes mas rapida;la correccion de certamenes mas rapida
4_3;0;0;1;Masculino. no hay problema con el profesor;no hay problema con el profesor
134_7;0;0;1;Masculino. era algo dificil de entender a veces;era algo dificil de entender a veces
83_8;0;0;1;Masculino. buen sistema de enseÃ±anza;buen sistema de enseÃ±anza
30_8;0;0;1;Masculino. continue haciendo sus clases asi;continue haciendo sus clases asi
119_8;0;0;1;Masculino. llamar la atencion de los estudiantes;llamar la atencion de los estudiantes
17_1;0;0;1;Masculino. sus clases son reflexivas;sus clases son reflexivas
78_7;0;0;1;Masculino. profesor empatico y dedicado;profesor empatico y dedicado
40_8;0;0;1;Masculino. la asistencia deberia ser obligatoria;la asistencia deberia ser obligatoria
68_4;0;0;1;Masculino. mas uso del ingles en la sala de clases;mas uso del ingles en la sala de clases
138_4;0;0;1;Masculino. agregar nuevos metodos de aprendizaje;agregar nuevos metodos de aprendizaje
16_7;0;0;1;Masculino. falta mayor compromiso del profesor;falta mayor compromiso del profesor
20_7;0;0;1;Masculino. exelente docente y persona;exelente docente y persona
42_2;0;0;1;Masculino. buen ambiente de tranajo;buen ambiente de tranajo
60_7;0;0;1;Masculino. se preocupa por cosas irrelevantes;se preocupa por cosas irrelevantes
83_4;0;0;1;Masculino. mejorar comunicacion entre secciones;mejorar comunicacion entre secciones
19_3;0;0;1;Masculino. mayor especificacion de conceptod;mayor especificacion de conceptod
13_6;0;0;1;Masculino. asignatura muy necesaria para la carrera;asignatura muy necesaria para la carrera
77_7;0;0;1;Masculino. solo tuve una clase con el;solo tuve una clase con el
126_7;0;0;1;Masculino. sin comentrios muy buen profesor;sin comentrios muy buen profesor
14_7;0;0;1;Masculino. mas tiempo para las tareas;mas tiempo para las tareas
